DESCRIPTION,FA_ACCEPTED_DATE,FA_ANALYST,FA_LOCATION,LOT,MOULD_COMPOUND,PK_PACKAGE_NAME,PLAN_TRANSFER_DAY_TO_FA,PRECEDING_STRESS_OPERATION,PRECEEDING_STRESS,PROD_BASIC_TYPE,PROJ_PROJECT_NAME,PROJ_THEMA2,PROJECT_LINE,QM,STARTING_MONTH,TEMPLATE_NAME,TEST_ALREADY_IN_FA,TEST_LAB_TRACKING_NO,TESTSTATE,WIRE_DIAMETER,WIRE_MATERIAL,PRIORITY,PROJ_ID
"Please consult with QM first. 
EVI, XI and SAM on the 6 samples which will be also used for IVI D and 2 fresh samples for NVM cross-section. ",11/18/2022 9:40:09 AM,Yang Jun (IFAP FE QM FA PI),FA-SIN,3FT6M180H01,Sumitomo XN8840,PG-FHBGA-436-1,11/18/2022 12:00:00 AM,END,TST,M4706,RRAM_Demo_BGA436_400MHz_Qualification_Endurance_Tcrit_evaluation__and_ EDR_HTSL,,58,Thajudin Ahmed Fazir (IFAG ATV QM MC P58),2022-11,IPI,YES,SI22391P.23,START,,,3,236625
"Q006: PTA_FULL after 1x (HTS500h), 30 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI) 
G-3000-37PB0179-00-0-00

** Take note -  Mold compound is G630AY

Refer to attachment for Q006-PTA  instruction in MT222316.10

** Please inform Goh Jia Yi / Ong Si Hui if SAT observed delam 

Refer to attachment ""FA Submission for JESD47 Ball Shear (MT222316.10)"" to provide Ball Shear/Area

PDR ball bond diameter for MT222316.10: 
Red M6453 C11HV-CTR ball - 78.0 um
Blue stitch on bump (C11HV chip) - 83.8 um
Yellow M6452 C11HV ball - 75.3 um
Green stitch on bump (Ag plating) - 87.3 um",11/22/2022 11:31:45 AM,Ong Si Hui (IFAP FE QM FA PI),FA SIN_PTA,ZA222282H01-HE234,EME G630AY,PG-DSO-16-46,11/22/2022 12:00:00 AM,SPLIT,HTSL,U6451,Q22AW198_CYL085,Digital Isolator Q006 Qualification - MM,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2022-11,PTA-Q006,YES,MT222316.19,START,,,3,264059
"Q006: PTA_CSAM after Precon, 11 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI)
G-3000-37PB01792-00-0-00

** Please inform Goh Jia Yi / Ong Si Hui if SAT observed delam ",11/22/2022 11:22:58 AM,Wong Weng Seng (IFAP FE QM FA LOP),FA SIN_PTA,ZA220355H10-HE236,EME G630AY,PG-DSO-16-46,11/22/2022 12:00:00 AM,SPLIT,PC,U6451,Q22AW197_CYL084,Digital Isolator Q006 Qualification - LL,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2022-11,PTA-Q006,YES,MT222315.11,ASSESSED,,,3,263695
"Q006: PTA_CSAM after Precon, 11 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI)
G-3000-37PB0179-00-0-00

** Please inform Goh Jia Yi / Ong Si Hui if SAT observed delam ",11/22/2022 11:22:33 AM,Yeo Eng Leng Joseph (IFAP FE QM FA PI),FA SIN_PTA,ZA222282H01-HE234,EME G630AY,PG-DSO-16-46,11/22/2022 12:00:00 AM,SPLIT,PC,U6451,Q22AW198_CYL085,Digital Isolator Q006 Qualification - MM,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2022-11,PTA-Q006,YES,MT222316.11,ASSESSED,,,3,264059
"Q006: PTA_CSAM after Precon, 11 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI)
G-3000-37PB0179-00-0-00

** Please inform Goh Jia Yi / Ong Si Hui if SAT observed delam ",11/22/2022 11:22:59 AM,Wong Weng Seng (IFAP FE QM FA LOP),FA SIN_PTA,ZA221012H03,EME G630AY,PG-DSO-16-46,11/22/2022 12:00:00 AM,SPLIT,PC,U6451,Q22AW199_CYL086,Digital Isolator Q006 Qualification - HH,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2022-11,PTA-Q006,YES,MT222317.11,ASSESSED,,,3,264062
"Q006: PTA_FULL after 1x (HTS500h), 30 samples

Ship to Goh Jia Yi (IFAP FE QM FA PI) 
G-3000-37PB0179-00-0-00

** Take note -  Mold compound is G630AY

Refer to attachment for Q006-PTA  instruction in MT222317.10

** Please inform Goh Jia Yi / Ong Si Hui if SAT observed delam 

Refer to attachment ""FA Submission for JESD47 Ball Shear (MT222317.10)"" to provide Ball Shear/Area

PDR ball bond diameter for MT222317.10: 
Red M6453 C11HV-CTR ball - 80.3 um
Blue stitch on bump (C11HV chip) - 85.7 um
Yellow M6452 C11HV ball - 77.8 um
Green stitch on bump (Ag plating) - 90.1 um",11/22/2022 11:33:00 AM,Ong Si Hui (IFAP FE QM FA PI),FA SIN_PTA,ZA221012H03,EME G630AY,PG-DSO-16-46,11/22/2022 12:00:00 AM,SPLIT,HTSL,U6451,Q22AW199_CYL086,Digital Isolator Q006 Qualification - HH,DSO_PD,Ang Winston (IFAP BE TS QM RQ 1),2022-11,PTA-Q006,YES,MT222317.19,START,,,3,264062
"PTA post HTGS1000h
To send PTA sample to Dela Cruz Genny (IFAP FE QM FA PI OPS). ",11/25/2022 11:41:33 AM,,FA SIN_PTA,VE125713.06,MC_KMC 2120 G-7A,PG-SOT223-4-21,11/25/2022 12:00:00 AM,SPLIT,HTGS,L9075,Q22ZY302_LAF020,ALP_SOT223_Auto_TFME,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-11,PTA-Q006,YES,MT223598.05,START,42µm,PCC,3,272444
"TC500 PTA -LL leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 10 units",11/25/2022 11:41:58 AM,Wong Weng Seng (IFAP FE QM FA LOP),FA SIN_PTA,VC224478506_44939,EME-7026,PG-TO263-9-1,11/25/2022 12:00:00 AM,SPLIT,TC,L8704,Q22ZY402_CYL197,ALP_ eD2PAK _SiC MOS_ PG-TO263-9-1_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT224383.08,ASSESSED,,,3,277352
"initial PTA (LL) - ship to Dan Swee Tong. WBS: G-3000-37SU0828-00-0-00 

EVI, xray, csam : 20 units 

IVI (die & wire) : 3 units

cross section at ball bond (parallel with wire span) : 1 unit (inspect ball bond & measure BLT)

wire pull test : 8 units

ball shear test : 8 units

wedge pull test : 3 units

Reference report: SI22Y1-02808",11/25/2022 11:43:38 AM,Ong Si Hui (IFAP FE QM FA PI),FA SIN_PTA,LL,MC_CEL 9240 HF40M3,PG-TDSON-8-6,11/25/2022 12:00:00 AM,,REF,L9192,Q22PP005_LAF059,ALP_SS08_SFET3/5_PG-TDSON-8_ATM,OSP,Too Pei Pei (IFAP BE TS QM RQ 2),2022-11,PTA,YES,MT22467K.07,START,30µm,BW_Au_2N_30_µm,3,272414
"initial PTA (MM) - ship to Dan Swee Tong. WBS: G-3000-37SU0828-00-0-00 

EVI, xray, csam : 20 units 

IVI (die & wire) : 3 units

cross section at ball bond (parallel with wire span) : 1 unit (inspect ball bond & measure BLT)

wire pull test : 8 units

ball shear test : 8 units

wedge pull test : 3 units

Reference report: SI22Y1-02808",11/25/2022 11:44:03 AM,Yang Jun (IFAP FE QM FA PI),FA SIN_PTA,MM,MC_CEL 9240 HF40M3,PG-TDSON-8-6,11/25/2022 12:00:00 AM,,REF,L9192,Q22PP006_LAF060,ALP_SS08_SFET3/5_PG-TDSON-8_ATM,OSP,Too Pei Pei (IFAP BE TS QM RQ 2),2022-11,PTA,YES,MT22467L.04,START,30µm,BW_Au_2N_30_µm,3,272419
"TC500 PTA -HH leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 10 units",11/25/2022 11:41:58 AM,Wong Weng Seng (IFAP FE QM FA LOP),FA SIN_PTA,VC224478505_44939,EME-7026,PG-TO263-9-1,11/25/2022 12:00:00 AM,SPLIT,TC,L8704,Q22ZY401_CYL196,ALP_ eD2PAK _SiC MOS_ PG-TO263-9-1_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT224382.09,ASSESSED,,,3,274663
"initial PTA (HH) - ship to Dan Swee Tong. WBS: G-3000-37SU0828-00-0-00 

EVI, xray, csam : 20 units 

IVI (die & wire) : 3 units

cross section at ball bond (parallel with wire span) : 1 unit (inspect ball bond & measure BLT)

wire pull test : 8 units

ball shear test : 8 units

wedge pull test : 3 units

Reference report: SI22Y1-02808",11/25/2022 11:44:30 AM,Ong Si Hui (IFAP FE QM FA PI),FA SIN_PTA,HH,MC_CEL 9240 HF40M3,PG-TDSON-8-6,11/25/2022 12:00:00 AM,,REF,L9192,Q22PP007_LAF061,ALP_SS08_SFET3/5_PG-TDSON-8_ATM,OSP,Too Pei Pei (IFAP BE TS QM RQ 2),2022-11,PTA,YES,MT22467M.04,START,30µm,BW_Au_2N_30_µm,3,272418
"PTA Post HTGS1000h
To send PTA sample to Dela Cruz Genny (IFAP FE QM FA PI OPS). ",11/25/2022 11:40:45 AM,,FA SIN_PTA,VE125713.06,MC_KMC 2120 G-7A,PG-SOT223-4-21,11/25/2022 12:00:00 AM,SPLIT,HTGS,L9075,Q22ZY301_LAF019,ALP_SOT223_Auto_TFME,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-11,PTA-Q006,YES,MT223597.01,START,42µm,PCC,3,272438
"UHAST96 PTA -MM leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 15 units
Internal Visual Inspection (IVI): Overview: 3 units and Die abnormality: 3 units (pls check if any lifted, cracked or broken die)
SEM - wire integrity: 3 units (pls check if any lifted, cracked or broken wires)
Small diameter wire pull: 3 units 
Large diameter wire pull: 3 units",11/29/2022 12:21:00 PM,Wang Liang (IFAP FE QM FA PI OPS),FA SIN_PTA,VC223261510_45001,EME-7026,PG-TO263-9-1,11/29/2022 12:00:00 AM,SPLIT,UHST,L8704,Q22ZY404_CYL198,ALP_ eD2PAK _SiC MOS_ PG-TO263-9-1_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT224468.13,START,,,3,277365
PC PTA (LL) - ship to Dan Swee Tong. WBS: G-3000-37SU0828-00-0-00 ,11/29/2022 11:26:17 AM,Wong Weng Seng (IFAP FE QM FA LOP),FA SIN_PTA,LL,MC_CEL 9240 HF40M3,PG-TDSON-8-7,11/29/2022 12:00:00 AM,SPLIT,PC,L9199,Q22PP002_LAF056,ALP_SS08_SFET3/5_PG-TDSON-8_ATM,OSP,Too Pei Pei (IFAP BE TS QM RQ 2),2022-11,PTA,YES,MT22446D.05,ASSESSED,30µm,BW_Au_4N_30_µm,3,272366
"PTA for TC2000c MM leg
Addtional request to provide 1 unit for cratering check.

To be shipped to FA SIN, attention to Dan Swee Tong (IFAP FE QM FA PI) +65 68664504.
Refer to zero hour FA submission template.
To use as reference for subsequent same lot stress readout PTA reports.",11/29/2022 11:25:26 AM,Wang Liang (IFAP FE QM FA PI OPS),FA SIN_PTA,BS186980H03_MM,CEL 9240 HF10 AK,PG-DSO-8-92,11/29/2022 12:00:00 AM,SPLIT,TC,M2919,Q22TSK60_LAF004,ALP_TH-X_M2919_PG-DSO-8-92_HANA _MM,OSP,Tay Soon Kiat (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT22334J.16,START,,,3,269136
"T0 PTA -MM leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
X-Ray Top view to check DA voids%: 5 units
X-Ray Side view: 5 units 
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 15 units
Internal Visual Inspection (IVI): Overview: 3 units and Die abnormality: 3 units (pls check if any lifted, cracked or broken die)
SEM - wire integrity: 3 units (pls check if any lifted, cracked or broken wires)
Small diameter wire pull: 3 units 
Large diameter wire pull: 3 units",11/29/2022 12:20:10 PM,Ong Si Hui (IFAP FE QM FA PI),FA SIN_PTA,VC232103510_47164,N/A,PG-TO263-9-1,11/29/2022 12:00:00 AM,SPLIT,PC,L8705,Q22ZY400_CYL195,ALP_ eD2PAK _SiC MOS_ PG-TO263-9-1_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT22467C.07,START,125µm,AL,3,277370
"PTA after HTS2500h

Please ship the samples to SIN FA. Attention to Goh Jia Yi (IFAP FE QM FA PI).

Refer to Ave Ball Diameter used in MT22045Q.05",11/30/2022 10:22:00 AM,Wang Liang (IFAP FE QM FA PI OPS),FA SIN_PTA,R1218 MM D2,MC_EME G700 HC,PG-DSO-28-48,11/30/2022 12:00:00 AM,SPLIT,HTSL,M3624,Q21GU09_GU040_KBL730,C5SOI-2ML Cu Wire Bonding Pre DEV DSO_Design 2_MM,DSO_PD,Gui Hay Tat (IFAP BE TS QM RQ 3),2022-11,PTA,YES,MT22136E.19,START,30µm,BW_Cu_4N_30_µm,3,260005
"PTA after HTS2500h

Please ship the samples to SIN FA. Attention to Goh Jia Yi (IFAP FE QM FA PI).

Refer to Ave Ball Diameter used in MT22045T.05",11/30/2022 10:21:10 AM,Wang Liang (IFAP FE QM FA PI OPS),FA SIN_PTA,R1218 MM D8,MC_EME G700 HC,PG-DSO-28-48,11/30/2022 12:00:00 AM,SPLIT,HTSL,M3624,Q21GU09_GU043_KBL733,C5SOI-2ML Cu Wire Bonding Pre DEV DSO_Design 8_MM,DSO_PD,Gui Hay Tat (IFAP BE TS QM RQ 3),2022-11,PTA,YES,MT22136H.19,START,30µm,BW_Cu_4N_30_µm,3,260008
"0hr Q006 IPI + 5pcs ball pull, 5pcs bal shear , 5pcs wedge pull,
pls follow location & fill in the attached excel file for ball pull, shear & wedge pull in the attachment

Pls send sample to SIN FA
Attention to Dan Swee Tong (IFAP FE QM FA PI) ",11/30/2022 9:11:50 AM,Yang Jun (IFAP FE QM FA PI),FA-SIN,19215035H01,MC_EME G750 SE,PG-LFBGA-292-13,11/30/2022 12:00:00 AM,,REF,M3995,C40 TC35x M3995A LFBGA292-13 3rd Source Substrate ZDT GCM Qual - MM,NER_2021/22_01606 ,PQ_OSA,Lam Ying Ying (IFAP BE TS QM RQ 1),2022-11,IPI-Q006,YES,SI224119.02,START,20µm,BW_CuPd_4N_20_µm,3,276216
"HTRB1000h - PTA, please ship to Dan Swee Tong (IFAP FE QM FA PI)   

15 units for EVI
22 units for SAT
5 units for IVI
For 75um wire - 5units for Pull & 5 units for Shear
For 250um wire- 5units for Pull & 5 units for Shear",11/30/2022 10:17:00 AM,Wang Liang (IFAP FE QM FA PI OPS),FA SIN_PTA,VC1448810UN_32496-Marking Code: HE3,EME E500 HA,PG-TO247-4-16,11/30/2022 12:00:00 AM,SPLIT,HTRB,L8864,Q22SY011_CYL127,ALP_SiCMOS_Gen1_750V_ATV_TO247_TFME,OSP,Lam Ying Ying (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT22356R.06,START,,,3,268637
"0hr Q006 IPI + 5pcs ball pull, 5pcs bal shear , 5pcs wedge pull,
pls follow location & fill in the attached excel file for ball pull, shear & wedge pull in the attachment

Pls send sample to SIN FA
Attention to Dan Swee Tong (IFAP FE QM FA PI) ",11/30/2022 9:12:16 AM,Ong Si Hui (IFAP FE QM FA PI),FA-SIN,19210053H41,EME G750 SE,PG-LFBGA-292-10,11/30/2022 12:00:00 AM,,REF,M3990,C40 TC39xB M3990B LFBGA292-10 3rd Source Substrate ZDT GCM Qual - MM,NER_2021/22_01606  ,PQ_OSA,Lam Ying Ying (IFAP BE TS QM RQ 1),2022-11,IPI-Q006,YES,SI224117.02,START,20µm,CU-4N 20µM PD-COATED,3,276209
"UHAST 96hr
External optical and visual inspection on leads hence NO decapping is required

Pls send report to Venkatesan Sriram (IFAG ATV QM MC P58) <Sriram.Venkatesan@infineon.com>",12/1/2022 11:26:58 AM,Ong Si Hui (IFAP FE QM FA PI),FA-SIN,192050845UQ,CEL 9240 HF10 AKI2-U,PG-TQFP-144-27,12/1/2022 12:00:00 AM,END,UHST,M3994,C40_TC364_TQFP-144_uHAST_monitoring_RPT_SIN_1,,58_PRM,Heine Stefanie (IFAG ATV QM MC P58),2022-12,IPI,YES,SI22451C.66,START,25µm,BW_Cu_4N_25_µm,3,272063
Zhang Hai Shu (IFAP FE QM FA PI) <Hai-Shu.Zhang@infineon.com>,,,FA-SIN,84PKU079S01 #02,AMK MC27,PG-LQFP-100-29,12/2/2022 12:00:00 AM,SPLIT,TC,M6340,Q22MR|LR01_M6340G_L90FLA-TSMC_PG-LQFP-100-29-ATP-Pkgqual-ESD CDM,package qualification XMC product: ALP_CSS_XMC_Trans_xQFP_FTK_ATP,G3,Ravindran Lakshmy (IFAG CSS QM 2),2022-12,IPI,No,RQ22371O.17,START,,,3,265190
"Please take out 2 pass samples after HTS 500h, IPI might be requested

Pull near ball bond.",12/2/2022 9:33:43 AM,,FA-SIN,3FT7K174H06,MC_EME G750 SE,PG-LFBGA-292-12,12/2/2022 12:00:00 AM,T_HTS_500_R1,HTSL,M3990,CST3 N28 W/B PureHTS_CuPad_EX1P,,58_PRM,Zaki Mohanad (IFAG ATV QM MC P58),2022-12,IPI,YES,SI22412N.03,START,20µm,BW_CuPd_4N_20_µm,3,276084
"Please take out 2 pass samples after HTS 500h, 
2 unit perform pull test",12/2/2022 9:35:48 AM,,FA-SIN,3FT7K174H03,MC_EME G750 SE,PG-LFBGA-292-12,12/2/2022 12:00:00 AM,T_HTS_500_R1,HTSL,M3990,CST3 N28 W/B PureHTS_AluPad_EX1P+,,58_PRM,Zaki Mohanad (IFAG ATV QM MC P58),2022-12,IPI,YES,SI22411U.03,START,20µm,BW_CuPd_4N_20_µm,3,276083
"Please take out 2 pass samples after HTS 500h,
2 units perform pull test",12/2/2022 9:34:58 AM,,FA-SIN,3FT7K174H02,MC_EME G750 SE,PG-LFBGA-292-12,12/2/2022 12:00:00 AM,T_HTS_500_R1,HTSL,M3990,CST3 N28 W/B PureHTS_AluPad_EX1P,,58_PRM,Thajudin Ahmed Fazir (IFAG ATV QM MC P58),2022-12,IPI,YES,SI22411V.03,START,20µm,BW_CuPd_4N_20_µm,3,274908
"Cu Wire
Belongs together with RQ22261S.12
Zhang Hai Shu (IFAP FE QM FA PI) <Hai-Shu.Zhang@infineon.com>",,,FA-SIN,ZA205257S05 #18,AMK MC27,PG-LQFP-144-26,12/4/2022 12:00:00 AM,,HTSL,M6320,Q22MR|LR02_M6350B_L90FLI-DRS_PG-LQFP-144-26-ATP-Pkgqual-ESD CDM_Lot1,package qualification XMC product: ALP_CSS_XMC_Trans_xQFP_FTK_ATP,G3,Ravindran Lakshmy (IFAG CSS QM 2),2022-12,IPI,No,RQ22261T.07,READY,,,3,264125
"UHAST192 PTA -MM leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 10 units",12/4/2022 7:59:26 AM,,FA SIN_PTA,VC223261510_45001,EME-7026,PG-TO263-9-1,12/4/2022 12:00:00 AM,SPLIT,UHST,L8704,Q22ZY404_CYL198,ALP_ eD2PAK _SiC MOS_ PG-TO263-9-1_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-12,PTA,YES,MT224468.14,START,,,3,277365
"MSL3 Q006_PTA

Please ship units to Ong Si Hui (IFAP FE QM FA PI) <SiHui.Ong@infineon.com>
Contact: +65  6840 0922
Address: Infineon Technologies Asia Pacific Pte. Ltd, 168 Kallang Way (Singapore 349253)

Pls keep the worst delam or mold abnormally unit for further analysis
Pls provide the estimation for measurement if delam or mold abnormally observed. ",12/4/2022 8:22:50 AM,,FA SIN_PTA,6HUK9MPW943,EME G631BQG,PG-VQFN-56-7,12/4/2022 12:00:00 AM,SPLIT,PC,S1043,Q21LHG011_HUL433,Annapura 8x8 Package pro.Cu Qualification HH Lot,OSA,Loh Hai Guan (IFAP BE TS QM RQ 3),2022-12,PTA-Q006,YES,MT22455S.27,START,30µm,30um PCC Wire,3,249886
"TC500 PTA -MM leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 10 units",12/4/2022 1:08:07 PM,,FA SIN_PTA,VC223261510_45001,EME-7026,PG-TO263-9-1,12/4/2022 12:00:00 AM,SPLIT,TC,L8704,Q22ZY404_CYL198,ALP_ eD2PAK _SiC MOS_ PG-TO263-9-1_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-12,PTA,YES,MT224468.11,START,,,3,277365
IPI for Opt. 1.3 ASE after 1000h HTS 175°C +PC + 1000c TC -65/+175°C,,,FA-SIN,11SI77D001,none,PG-BGA-516,12/4/2022 12:00:00 AM,,REF,AS516,Q19BR03_ABR048,A3G Package Innovation Project FlipChip 2nd Iteration,PT_OSA,Bauer Robert Stefan (IFAG QM RQ PM),2022-12,IPI,No,SI193016.01,START,,,3,197960
"0hr-PTA

Refer to the Special PTA instructions attached under 0h PTA at MT222417.01

Ship to Goh Jia Yi (IFAP FE QM FA PI)",12/4/2022 11:06:07 AM,,FA SIN_PTA,ZA203375BRV,EME G630AY,PG-DSO-8-66,12/4/2022 12:00:00 AM,,REF,G2017,Q22CZQ011_KBL975,Innovation Project DA solution CAR 1:5,DSO_PD,Ching Zai Qin (IFAP BE TS QM RQ 1),2022-12,PTA,YES,MT222417.01,START,30µm,Cu,3,263897
"0hr-PTA

Refer to the Special PTA instructions attached under 0h PTA at MT222418.01

Ship to Goh Jia Yi (IFAP FE QM FA PI)",12/4/2022 11:05:42 AM,,FA SIN_PTA,ZA203375BRT,EME G630AY,PG-DSO-8-66,12/4/2022 12:00:00 AM,,REF,G2017,Q22CZQ010_KBL974,Innovation Project DA solution CAR 1:5,DSO_PD,Ching Zai Qin (IFAP BE TS QM RQ 1),2022-12,PTA,YES,MT222418.01,START,30µm,Cu,3,263899
"0hr-PTA

Refer to the Special PTA instructions attached under 0h PTA at MT222414.01.

Ship to Goh Jia Yi (IFAP FE QM FA PI)",12/4/2022 11:05:17 AM,,FA SIN_PTA,ZA203375BRS,EME G630AY,PG-DSO-8-66,12/4/2022 12:00:00 AM,,REF,G2017,Q22CZQ009_KBL973,Innovation Project DA solution CAR 1:5,DSO_PD,Ching Zai Qin (IFAP BE TS QM RQ 1),2022-12,PTA,YES,MT222414.01,START,30µm,Cu,3,262815
"MSL3 Q006_PTA

Please ship units to Ong Si Hui (IFAP FE QM FA PI) <SiHui.Ong@infineon.com>
Contact: +65  6840 0922
Address: Infineon Technologies Asia Pacific Pte. Ltd, 168 Kallang Way (Singapore 349253)

Pls keep the worst delam or mold abnormally unit for further analysis
Pls provide the estimation for measurement if delam or mold abnormally observed. ",12/4/2022 8:24:27 AM,,FA SIN_PTA,6HUK9MPW941,EME G631BQG,PG-VQFN-56-7,12/4/2022 12:00:00 AM,SPLIT,PC,S1043,Q21LHG010_HUL432,Annapura 8x8 Package pro.Cu Qualification LL Lot,OSA,Loh Hai Guan (IFAP BE TS QM RQ 3),2022-12,PTA-Q006,YES,MT214416.04,START,30µm,30um PCC Wire,3,249885
"0hr-PTA

Refer to the Special PTA instructions attached under 0h PTA at MT22401H.01

Ship to Goh Jia Yi (IFAP FE QM FA PI)",12/4/2022 11:06:58 AM,,FA SIN_PTA,ZA203375BRW,EME G630AY,PG-DSO-8-66,12/4/2022 12:00:00 AM,,REF,G2017,Q22CZQ012_KBL976,Innovation Project DA solution CAR 1:5,DSO_PD,Ching Zai Qin (IFAP BE TS QM RQ 1),2022-12,PTA,YES,MT22401H.01,START,30µm,Cu,3,274633
"MSL3 PC PTA

Please ship units to Ong Si Hui (IFAP FE QM FA PI) <SiHui.Ong@infineon.com>
Contact: +65  6840 0922
Address: Infineon Technologies Asia Pacific Pte. Ltd, 168 Kallang Way (Singapore 349253)

Pls keep the worst delam or mold abnormally unit for further analysis
Pls provide the estimation for measurement if delam or mold abnormally observed. ",12/4/2022 8:25:45 AM,,FA SIN_PTA,6HUK9MPW941,EME G631BQG,PG-VQFN-56-7,12/4/2022 12:00:00 AM,SPLIT,PC,S1043,Q21LHG009_HUL431,Annapura 8x8 Package pro.Cu Qualification MM Lot,OSA,Loh Hai Guan (IFAP BE TS QM RQ 3),2022-12,PTA-Q006,YES,MT214415.04,START,30µm,30um PCC Wire,3,249883
For R3T decap recipe setup on S2691R LQFP64 package,,,FA SIN_PTA,6HUKQ68JH02 [VLVL],MC_CEL 9240 HF10 AKI2U,PG-LQFP-64-28,12/5/2022 12:00:00 AM,,REF,S2691,Q22GU06_GU062,S2691R_LQFP64_iPMIC_Qual_VLVL,PT_OSA,Gui Hay Tat (IFAP BE TS QM RQ 3),2022-12,PTA,No,SI22351Z.01,PRELIM,30µm,BW_Pd/Cu_3N_30_µm,3,268310
"0hr Q006 IPI + 5pcs ball pull, 5pcs bal shear , 5pcs wedge pull,
pls follow location & fill in the attached excel file for ball pull, shear & wedge pull in the attachment

Pls send sample to SIN FA
Attention to Dan Swee Tong (IFAP FE QM FA PI) ",,,FA-SIN,D_617207,EME G750 SE,PG-LFBGA-516-10,12/5/2022 12:00:00 AM,,REF,M3990,C40 TC39xB M3990B LFBGA516-10 3rd Source Substrate ZDT GCM Qual - LL,NER_2021/22_01606 ,PQ_OSA,Lam Ying Ying (IFAP BE TS QM RQ 1),2022-12,IPI-Q006,No,SI224115.02,APPLY,20µm,CU-4N 20µM PD-COATED,3,276207
"0hr Q006 IPI + 5pcs ball pull, 5pcs bal shear , 5pcs wedge pull,
pls follow location & fill in the attached excel file for ball pull, shear & wedge pull in the attachment

Pls send sample to SIN FA
Attention to Dan Swee Tong (IFAP FE QM FA PI) ",,,FA-SIN,D_617210,EME G750 SE,PG-LFBGA-516-10,12/5/2022 12:00:00 AM,,REF,M3990,C40 TC39xB M3990B LFBGA516-10 3rd Source Substrate ZDT GCM Qual - HH,NER_2021/22_01606 ,PQ_OSA,Lam Ying Ying (IFAP BE TS QM RQ 1),2022-12,IPI-Q006,No,SI224116.02,APPLY,20µm,CU-4N 20µM PD-COATED,3,276208
,,,FA SIN_PTA,MM,MC_EME G700,PG-VQFN-70-1,12/5/2022 12:00:00 AM,,REF,U0205,Q21LHG005_AQM076,ISOFACE_PG-VQFN-70-3_12X12_ATP1_SIN_MM,OSP,Loh Hai Guan (IFAP BE TS QM RQ 3),2022-12,PTA,No,MT222514.01,PRELIM,30µm,BW_Pd/Cu_4N_30_µm,3,245654
"T0_PTA

Please ship units to ___
Contact: +65 
Address: 168 Kallang Way, Singapore 349253

Refer to attached PTA instruction in ______________
Ball bond diameter: Pending

Please keep the worst delam or mold abnormally unit for further analysis
Please provide the estimation for measurement if delam or mold abnormally observed. ",,,FA SIN_PTA,HH,MC_EME G700,PG-VQFN-70-1,12/5/2022 12:00:00 AM,,REF,U0205,Q21LHG006_AQM077,ISOFACE_PG-VQFN-70-3_12X12_ATP1_SIN_HH,OSP,Loh Hai Guan (IFAP BE TS QM RQ 3),2022-12,PTA,No,MT222515.12,PRELIM,30µm,BW_Pd/Cu_4N_30_µm,3,245658
